,Industry,No. of Jobs
11,Tài chính/Đầu tư,1757
22,Điện/Điện tử,1169
0,Xây dựng,1036
23,Cơ khí,1014
10,Kiểm toán,908
9,Ngân hàng,898
6,Quảng cáo/Khuyến mãi/Đối ngoại,767
44,Vận chuyển/Giao nhận,716
7,Internet/Online Media,664
1,Kiến trúc/Thiết kế nội thất,595
41,Giáo dục/Đào tạo,558
16,Bán lẻ/Bán sỉ,521
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,517
2,Bất động sản,474
43,Tư vấn,468
30,Tự động hóa/Ô tô,443
28,Dệt may/Da giày,416
14,Hàng tiêu dùng,409
17,Thực phẩm & Đồ uống,376
21,Nhà hàng/Khách sạn,329
32,Sản phẩm công nghiệp,322
35,Y tế/Chăm sóc sức khỏe,314
42,Y tế/Chăm sóc sức khỏe,314
45,Kho vận,303
24,Hóa học/Hóa sinh,285
4,Truyền hình/Truyền thông/Báo chí,278
13,Bảo hiểm,236
29,Dược Phẩm/Công nghệ sinh học,228
20,Hàng không/Du lịch,212
3,Viễn Thông,207
26,Điện lạnh/Nhiệt lạnh,160
18,Thời trang,158
25,Môi trường/Xử lý chất thải,147
12,Chứng khoán,146
33,Công nghệ cao,130
39,Trình dược viên,125
46,Hàng hải,120
31,Nông nghiệp/Lâm nghiệp,115
38,Dược sĩ,95
8,In ấn/ Xuất bản,84
40,Phi chính phủ/Phi lợi nhuận,80
15,Hàng gia dụng,69
27,Dầu khí,55
19,Hàng cao cấp,32
36,Bác sĩ,28
34,Địa chất/Khoáng sản,25
37,Y sĩ/Hộ lý,23
