,Industry,No. of Jobs
14, Bán hàng,3460
19, Tư vấn,2693
8, Dịch vụ khách hàng,1867
11, Kế toán / Kiểm toán,1648
18, Tiếp thị,1409
13, Tài chính / Đầu tư,1402
33, Kỹ thuật ứng dụng / Cơ khí,1368
25, CNTT - Phần mềm,1350
4, Thư ký / Hành chánh,1197
32, Điện / Điện tử,1159
52, Mới tốt nghiệp / Thực tập,1064
16, Quảng cáo / Khuyến mãi / Đối ngoại,1034
10, Bảo hiểm,975
42, Sản xuất / Vận hành sản xuất,968
6, Bán lẻ / Bán sỉ,910
0, Biên phiên dịch / Thông dịch viên,893
21, Vận chuyển / Giao thông / Kho bãi,828
47, Xây dựng,639
29, Bảo trì / Sửa chữa,617
20, Quản lý chất lượng (QA / QC),604
49, Nghệ thuật / Thiết kế / Giải trí,587
24, CNTT - Phần cứng / Mạng,584
12, Ngân hàng / Chứng khoán,550
1, Biên phiên dịch (tiếng Nhật),547
2, Nhân sự,536
51, Lao động phổ thông,451
23, Xuất nhập khẩu / Ngoại thương,415
31, Dược / Sinh học,354
39, Hóa chất / Sinh hóa / Thực phẩm,351
22, Vật tư / Mua hàng,333
37, Dệt may / Da giày,319
7, Chăm sóc sức khỏe / Y tế,278
44, Bất động sản,277
48, Báo chí / Biên tập viên / Xuất bản,243
28, Nhà hàng / Dịch vụ ăn uống,230
30, Điện lạnh / Nhiệt lạnh,221
45, Kiến trúc,215
46, Nội thất / Ngoại thất,201
54, Quản lý điều hành,188
50, Viễn Thông,182
3, Pháp lý / Luật,169
5, An Ninh / Bảo Vệ,109
34, Môi trường / Xử lý chất thải,108
41, Ô tô,106
27, Khách sạn,100
17, Thời trang,92
35, An Toàn Lao Động,86
38, Đồ Gỗ,74
40, Nông nghiệp / Lâm nghiệp,73
43, Thuỷ Hải Sản,46
55, Khác,44
15, Hàng gia dụng,39
26, Du lịch,36
36, Dầu khí / Khoáng sản,20
53, Người nước ngoài,1
9, Phi chính phủ / Phi lợi nhuận,0
