,Industry,No. of Jobs
11,Tài chính/Đầu tư,1034
22,Điện/Điện tử,784
0,Xây dựng,732
23,Cơ khí,611
9,Ngân hàng,571
10,Kiểm toán,510
6,Quảng cáo/Khuyến mãi/Đối ngoại,497
7,Internet/Online Media,453
1,Kiến trúc/Thiết kế nội thất,407
41,Giáo dục/Đào tạo,391
2,Bất động sản,386
44,Vận chuyển/Giao nhận,342
16,Bán lẻ/Bán sỉ,338
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,307
43,Tư vấn,281
30,Tự động hóa/Ô tô,249
42,Y tế/Chăm sóc sức khỏe,238
35,Y tế/Chăm sóc sức khỏe,238
17,Thực phẩm & Đồ uống,227
13,Bảo hiểm,212
32,Sản phẩm công nghiệp,200
24,Hóa học/Hóa sinh,186
14,Hàng tiêu dùng,185
3,Viễn Thông,169
4,Truyền hình/Truyền thông/Báo chí,162
28,Dệt may/Da giày,153
21,Nhà hàng/Khách sạn,142
29,Dược Phẩm/Công nghệ sinh học,138
12,Chứng khoán,132
45,Kho vận,128
26,Điện lạnh/Nhiệt lạnh,108
33,Công nghệ cao,106
25,Môi trường/Xử lý chất thải,105
18,Thời trang,88
31,Nông nghiệp/Lâm nghiệp,87
39,Trình dược viên,62
46,Hàng hải,60
38,Dược sĩ,54
20,Hàng không/Du lịch,52
40,Phi chính phủ/Phi lợi nhuận,48
27,Dầu khí,47
8,In ấn/ Xuất bản,45
15,Hàng gia dụng,38
19,Hàng cao cấp,29
36,Bác sĩ,22
37,Y sĩ/Hộ lý,19
34,Địa chất/Khoáng sản,16
