,Industry,No. of Jobs
11,Tài chính/Đầu tư,1028
22,Điện/Điện tử,794
0,Xây dựng,714
9,Ngân hàng,590
23,Cơ khí,583
10,Kiểm toán,513
7,Internet/Online Media,462
6,Quảng cáo/Khuyến mãi/Đối ngoại,459
1,Kiến trúc/Thiết kế nội thất,365
44,Vận chuyển/Giao nhận,361
41,Giáo dục/Đào tạo,358
2,Bất động sản,357
16,Bán lẻ/Bán sỉ,357
43,Tư vấn,293
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,290
30,Tự động hóa/Ô tô,274
14,Hàng tiêu dùng,221
17,Thực phẩm & Đồ uống,215
42,Y tế/Chăm sóc sức khỏe,214
35,Y tế/Chăm sóc sức khỏe,214
13,Bảo hiểm,212
3,Viễn Thông,189
24,Hóa học/Hóa sinh,185
32,Sản phẩm công nghiệp,181
45,Kho vận,164
4,Truyền hình/Truyền thông/Báo chí,163
29,Dược Phẩm/Công nghệ sinh học,160
26,Điện lạnh/Nhiệt lạnh,149
28,Dệt may/Da giày,144
21,Nhà hàng/Khách sạn,131
33,Công nghệ cao,129
25,Môi trường/Xử lý chất thải,110
12,Chứng khoán,99
31,Nông nghiệp/Lâm nghiệp,94
18,Thời trang,87
27,Dầu khí,66
46,Hàng hải,62
20,Hàng không/Du lịch,62
39,Trình dược viên,60
38,Dược sĩ,54
40,Phi chính phủ/Phi lợi nhuận,44
15,Hàng gia dụng,34
8,In ấn/ Xuất bản,33
19,Hàng cao cấp,23
37,Y sĩ/Hộ lý,19
34,Địa chất/Khoáng sản,18
36,Bác sĩ,16
