,Date,Site,Industry,No. of Jobs
2,2020-04-04,vietlam24h,Kế toán-Kiểm toán,197.0
3,2020-04-04,vietlam24h,Kỹ thuật,184.0
4,2020-04-04,vietlam24h,Bán hàng ,164.0
0,2020-03-30,vietlam24h,Hành chính-Văn phòng,339.0
1,2020-03-30,vietlam24h,Nhân viên kinh doanh,257.0
2,2020-03-30,vietlam24h,Kế toán-Kiểm toán,205.0
3,2020-03-30,vietlam24h,Kỹ thuật,202.0
4,2020-03-30,vietlam24h,Bán hàng ,173.0
0,2020-04-13,vietnamwork,Tài chính/Đầu tư,906.0
1,2020-04-13,vietnamwork,Điện/Điện tử,670.0
2,2020-04-13,vietnamwork,Cơ khí,589.0
3,2020-04-13,vietnamwork,Ngân hàng,558.0
4,2020-04-13,vietnamwork,Xây dựng,512.0
0,2020-03-16,careerbuilder,Bán hàng / Kinh doanh,4064.0
1,2020-03-16,careerbuilder,Kế toán / Kiểm toán,2106.0
2,2020-03-16,careerbuilder,Ngân hàng,1992.0
3,2020-03-16,careerbuilder,Tiếp thị / Marketing,1964.0
4,2020-03-16,careerbuilder,Tài chính / Đầu tư,1864.0
0,2020-03-16,careerlink, Bán hàng,4802.0
1,2020-03-16,careerlink, Tư vấn,3192.0
2,2020-03-16,careerlink, Dịch vụ khách hàng,2931.0
3,2020-03-16,careerlink, Kế toán / Kiểm toán,2201.0
4,2020-03-16,careerlink, Thư ký / Hành chánh,1921.0
0,2020-04-04,vietnamwork,Tài chính/Đầu tư,1137.0
1,2020-04-04,vietnamwork,Điện/Điện tử,905.0
2,2020-04-04,vietnamwork,Cơ khí,757.0
3,2020-04-04,vietnamwork,Xây dựng,669.0
4,2020-04-04,vietnamwork,Ngân hàng,630.0
0,2020-03-23,vietlam24h,Hành chính-Văn phòng,419.0
1,2020-03-23,vietlam24h,Nhân viên kinh doanh,354.0
2,2020-03-23,vietlam24h,Kế toán-Kiểm toán,245.0
3,2020-03-23,vietlam24h,Kỹ thuật,230.0
4,2020-03-23,vietlam24h,Bán hàng ,224.0
0,2020-04-20,careerbuilder,Bán hàng / Kinh doanh,3452.0
1,2020-04-20,careerbuilder,Ngân hàng,2033.0
2,2020-04-20,careerbuilder,Tài chính / Đầu tư,1691.0
3,2020-04-20,careerbuilder,Kế toán / Kiểm toán,1683.0
4,2020-04-20,careerbuilder,Tiếp thị / Marketing,1563.0
0,2020-03-01,careerbuilder,Bán hàng / Kinh doanh,4048.0
1,2020-03-01,careerbuilder,Kế toán / Kiểm toán,2146.0
2,2020-03-01,careerbuilder,Tiếp thị / Marketing,2080.0
3,2020-03-01,careerbuilder,Ngân hàng,2020.0
4,2020-03-01,careerbuilder,Tài chính / Đầu tư,1908.0
0,2020-03-30,vietnamwork,Tài chính/Đầu tư,1138.0
1,2020-03-30,vietnamwork,Điện/Điện tử,913.0
2,2020-03-30,vietnamwork,Cơ khí,768.0
3,2020-03-30,vietnamwork,Xây dựng,677.0
4,2020-03-30,vietnamwork,Ngân hàng,637.0
0,2020-04-20,careerlink, Bán hàng,3460.0
1,2020-04-20,careerlink, Tư vấn,2693.0
2,2020-04-20,careerlink, Dịch vụ khách hàng,1867.0
3,2020-04-20,careerlink, Kế toán / Kiểm toán,1648.0
4,2020-04-20,careerlink, Tiếp thị,1409.0
