,Industry,No. of Jobs
11,Tài chính/Đầu tư,850
22,Điện/Điện tử,596
9,Ngân hàng,558
23,Cơ khí,493
0,Xây dựng,474
10,Kiểm toán,380
7,Internet/Online Media,281
6,Quảng cáo/Khuyến mãi/Đối ngoại,274
1,Kiến trúc/Thiết kế nội thất,263
2,Bất động sản,262
44,Vận chuyển/Giao nhận,243
16,Bán lẻ/Bán sỉ,221
30,Tự động hóa/Ô tô,212
13,Bảo hiểm,193
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,184
41,Giáo dục/Đào tạo,182
43,Tư vấn,175
17,Thực phẩm & Đồ uống,174
14,Hàng tiêu dùng,158
42,Y tế/Chăm sóc sức khỏe,146
35,Y tế/Chăm sóc sức khỏe,146
32,Sản phẩm công nghiệp,145
24,Hóa học/Hóa sinh,124
29,Dược Phẩm/Công nghệ sinh học,121
3,Viễn Thông,115
33,Công nghệ cao,105
45,Kho vận,104
28,Dệt may/Da giày,99
12,Chứng khoán,97
4,Truyền hình/Truyền thông/Báo chí,95
26,Điện lạnh/Nhiệt lạnh,82
25,Môi trường/Xử lý chất thải,73
21,Nhà hàng/Khách sạn,73
31,Nông nghiệp/Lâm nghiệp,61
38,Dược sĩ,44
39,Trình dược viên,41
20,Hàng không/Du lịch,41
15,Hàng gia dụng,37
46,Hàng hải,36
18,Thời trang,34
27,Dầu khí,31
8,In ấn/ Xuất bản,28
40,Phi chính phủ/Phi lợi nhuận,26
36,Bác sĩ,18
34,Địa chất/Khoáng sản,13
19,Hàng cao cấp,12
37,Y sĩ/Hộ lý,11
