,Industry,No. of Jobs
0,Bán hàng / Kinh doanh,3355
1,Ngân hàng,1852
2,Kế toán / Kiểm toán,1677
3,Tài chính / Đầu tư,1582
4,Tiếp thị / Marketing,1546
5,Dịch vụ khách hàng,1326
6,CNTT - Phần mềm,1269
7,Bán lẻ / Bán sỉ,1093
8,Điện / Điện tử / Điện lạnh,993
9,Hành chính / Thư ký,992
10,Cơ khí / Ô tô / Tự động hóa,989
11,Sản xuất / Vận hành sản xuất,927
12,CNTT - Phần cứng / Mạng,762
13,Xây dựng,709
14,Quản lý điều hành,705
15,Tư vấn,690
16,Nhân sự,662
17,Quảng cáo / Đối ngoại / Truyền Thông,640
18,Bất động sản,631
19,Bảo trì / Sửa chữa,540
