,Industry,No. of Jobs
11,Tài chính/Đầu tư,1107
22,Điện/Điện tử,737
0,Xây dựng,649
23,Cơ khí,605
9,Ngân hàng,596
10,Kiểm toán,558
6,Quảng cáo/Khuyến mãi/Đối ngoại,442
7,Internet/Online Media,384
2,Bất động sản,372
1,Kiến trúc/Thiết kế nội thất,370
41,Giáo dục/Đào tạo,369
16,Bán lẻ/Bán sỉ,321
44,Vận chuyển/Giao nhận,318
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,310
43,Tư vấn,269
30,Tự động hóa/Ô tô,266
14,Hàng tiêu dùng,230
17,Thực phẩm & Đồ uống,222
32,Sản phẩm công nghiệp,208
35,Y tế/Chăm sóc sức khỏe,179
42,Y tế/Chăm sóc sức khỏe,179
24,Hóa học/Hóa sinh,177
13,Bảo hiểm,169
3,Viễn Thông,163
29,Dược Phẩm/Công nghệ sinh học,153
21,Nhà hàng/Khách sạn,152
4,Truyền hình/Truyền thông/Báo chí,148
45,Kho vận,138
12,Chứng khoán,116
33,Công nghệ cao,110
28,Dệt may/Da giày,106
26,Điện lạnh/Nhiệt lạnh,105
25,Môi trường/Xử lý chất thải,91
31,Nông nghiệp/Lâm nghiệp,85
18,Thời trang,66
39,Trình dược viên,61
46,Hàng hải,56
20,Hàng không/Du lịch,55
15,Hàng gia dụng,54
38,Dược sĩ,49
40,Phi chính phủ/Phi lợi nhuận,45
27,Dầu khí,32
8,In ấn/ Xuất bản,32
34,Địa chất/Khoáng sản,25
19,Hàng cao cấp,24
36,Bác sĩ,14
37,Y sĩ/Hộ lý,13
