,Industry,No. of Jobs
11,Tài chính/Đầu tư,1155
22,Điện/Điện tử,789
0,Xây dựng,652
23,Cơ khí,639
9,Ngân hàng,601
10,Kiểm toán,582
6,Quảng cáo/Khuyến mãi/Đối ngoại,437
7,Internet/Online Media,399
1,Kiến trúc/Thiết kế nội thất,374
41,Giáo dục/Đào tạo,371
2,Bất động sản,365
44,Vận chuyển/Giao nhận,358
16,Bán lẻ/Bán sỉ,328
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,315
30,Tự động hóa/Ô tô,276
43,Tư vấn,265
14,Hàng tiêu dùng,244
17,Thực phẩm & Đồ uống,232
32,Sản phẩm công nghiệp,201
35,Y tế/Chăm sóc sức khỏe,200
42,Y tế/Chăm sóc sức khỏe,200
13,Bảo hiểm,193
24,Hóa học/Hóa sinh,177
3,Viễn Thông,171
29,Dược Phẩm/Công nghệ sinh học,152
45,Kho vận,146
21,Nhà hàng/Khách sạn,139
4,Truyền hình/Truyền thông/Báo chí,138
12,Chứng khoán,129
33,Công nghệ cao,121
28,Dệt may/Da giày,111
26,Điện lạnh/Nhiệt lạnh,111
25,Môi trường/Xử lý chất thải,99
31,Nông nghiệp/Lâm nghiệp,92
18,Thời trang,72
39,Trình dược viên,64
46,Hàng hải,63
38,Dược sĩ,58
40,Phi chính phủ/Phi lợi nhuận,58
15,Hàng gia dụng,48
20,Hàng không/Du lịch,46
27,Dầu khí,43
8,In ấn/ Xuất bản,33
19,Hàng cao cấp,28
34,Địa chất/Khoáng sản,22
37,Y sĩ/Hộ lý,15
36,Bác sĩ,14
