,Industry,No. of Jobs
14, Bán hàng,4178
19, Tư vấn,3334
8, Dịch vụ khách hàng,2408
13, Tài chính / Đầu tư,1741
11, Kế toán / Kiểm toán,1720
18, Tiếp thị,1574
25, CNTT - Phần mềm,1454
33, Kỹ thuật ứng dụng / Cơ khí,1409
32, Điện / Điện tử,1287
4, Thư ký / Hành chánh,1256
10, Bảo hiểm,1164
16, Quảng cáo / Khuyến mãi / Đối ngoại,1142
52, Mới tốt nghiệp / Thực tập,1127
6, Bán lẻ / Bán sỉ,1106
0, Biên phiên dịch / Thông dịch viên,995
21, Vận chuyển / Giao thông / Kho bãi,921
42, Sản xuất / Vận hành sản xuất,840
12, Ngân hàng / Chứng khoán,697
24, CNTT - Phần cứng / Mạng,684
29, Bảo trì / Sửa chữa,672
49, Nghệ thuật / Thiết kế / Giải trí,647
47, Xây dựng,641
2, Nhân sự,554
20, Quản lý chất lượng (QA / QC),523
51, Lao động phổ thông,505
31, Dược / Sinh học,472
1, Biên phiên dịch (tiếng Nhật),441
23, Xuất nhập khẩu / Ngoại thương,425
39, Hóa chất / Sinh hóa / Thực phẩm,381
7, Chăm sóc sức khỏe / Y tế,376
22, Vật tư / Mua hàng,341
44, Bất động sản,330
28, Nhà hàng / Dịch vụ ăn uống,310
30, Điện lạnh / Nhiệt lạnh,293
48, Báo chí / Biên tập viên / Xuất bản,272
50, Viễn Thông,264
54, Quản lý điều hành,248
45, Kiến trúc,241
46, Nội thất / Ngoại thất,217
27, Khách sạn,215
37, Dệt may / Da giày,210
3, Pháp lý / Luật,194
17, Thời trang,191
41, Ô tô,149
5, An Ninh / Bảo Vệ,124
34, Môi trường / Xử lý chất thải,120
40, Nông nghiệp / Lâm nghiệp,98
35, An Toàn Lao Động,85
43, Thuỷ Hải Sản,79
38, Đồ Gỗ,74
55, Khác,65
15, Hàng gia dụng,61
26, Du lịch,45
36, Dầu khí / Khoáng sản,22
53, Người nước ngoài,5
9, Phi chính phủ / Phi lợi nhuận,0
