,Industry,No. of Jobs
5,Nhân viên kinh doanh,786.0
43,Hành chính-Văn phòng,596.0
25,Bán hàng ,576.0
1,Tư vấn,443.0
45,Kế toán-Kiểm toán,337.0
19,Kỹ thuật,313.0
31,Xây dựng,229.0
36,Điện-Điện tử-Điện lạnh,213.0
66,Marketing-PR,203.0
16,Lao động phổ thông,194.0
37,Cơ khí-Chế tạo,189.0
55,Quản trị kinh doanh,184.0
59,Kiến trúc-TK nội thất,153.0
32,Thiết kế-Mỹ thuật,124.0
13,KD bất động sản,118.0
61,Y tế-Dược,112.0
44,IT phần mềm,109.0
58,Tài chính-Đầu tư,100.0
3,Kho vận-Vật tư,97.0
24,Dịch vụ,87.0
11,Thực phẩm-Đồ uống,86.0
65,Thư ký-Trợ lý,84.0
57,Ngoại thương-Xuất nhập khẩu,80.0
62,Thiết kế đồ hoạ web,78.0
53,IT phần cứng/mạng,73.0
64,Nhân sự,72.0
6,Tiếp thị-Quảng cáo,72.0
48,Ngân hàng,70.0
17,Ngành nghề khác,60.0
12,Vận tải,58.0
60,Giáo dục-Đào tạo,58.0
18,Công nghiệp,58.0
42,Nông-Lâm-Ngư nghiệp,53.0
2,Hoá học-Sinh học,53.0
28,Dệt may - Da giày,52.0
40,Khách sạn-Nhà hàng,52.0
33,Làm bán thời gian,47.0
41,Điện tử viễn thông,46.0
0,Spa-Mỹ phẩm-Trang sức,46.0
15,In ấn-Xuất bản,46.0
47,Biên-Phiên dịch,45.0
35,Kỹ thuật ứng dụng,44.0
39,Ô tô - Xe máy,38.0
22,Thời trang,38.0
49,Thương mại điện tử,38.0
51,Báo chí-Truyền hình,35.0
21,Sinh viên làm thêm,34.0
63,Hoạch định-Dự án,27.0
34,Bảo hiểm,24.0
8,An ninh-Bảo vệ,22.0
52,Pháp lý-Luật,20.0
7,Dầu khí-Hóa chất,17.0
10,Chứng khoán- Vàng,17.0
50,Du lịch,16.0
29,Người giúp việc,13.0
23,Thủ công mỹ nghệ,12.0
38,Tổ chức sự kiện-Quà tặng,10.0
46,Quan hệ đối ngoại,9.0
26,Bưu chính,9.0
20,Hàng hải,8.0
56,Nghệ thuật - Điện ảnh,6.0
54,Công nghệ cao,6.0
4,Promotion Girl (PG),5.0
27,Game,3.0
9,Hàng không,3.0
30,Hàng gia dụng,3.0
14,NV trông quán Internet,0.0
67,Thực tập,0.0
