,Industry,No. of Jobs
11,Tài chính/Đầu tư,1297
22,Điện/Điện tử,949
23,Cơ khí,804
0,Xây dựng,744
9,Ngân hàng,730
10,Kiểm toán,696
6,Quảng cáo/Khuyến mãi/Đối ngoại,525
7,Internet/Online Media,506
44,Vận chuyển/Giao nhận,454
1,Kiến trúc/Thiết kế nội thất,440
16,Bán lẻ/Bán sỉ,371
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,371
30,Tự động hóa/Ô tô,369
2,Bất động sản,350
43,Tư vấn,323
41,Giáo dục/Đào tạo,323
28,Dệt may/Da giày,318
14,Hàng tiêu dùng,272
17,Thực phẩm & Đồ uống,262
42,Y tế/Chăm sóc sức khỏe,261
35,Y tế/Chăm sóc sức khỏe,261
32,Sản phẩm công nghiệp,254
24,Hóa học/Hóa sinh,228
45,Kho vận,200
29,Dược Phẩm/Công nghệ sinh học,193
13,Bảo hiểm,183
21,Nhà hàng/Khách sạn,171
3,Viễn Thông,168
4,Truyền hình/Truyền thông/Báo chí,164
33,Công nghệ cao,136
26,Điện lạnh/Nhiệt lạnh,129
18,Thời trang,122
12,Chứng khoán,114
25,Môi trường/Xử lý chất thải,112
20,Hàng không/Du lịch,104
39,Trình dược viên,97
38,Dược sĩ,90
31,Nông nghiệp/Lâm nghiệp,79
46,Hàng hải,73
27,Dầu khí,54
8,In ấn/ Xuất bản,53
15,Hàng gia dụng,51
40,Phi chính phủ/Phi lợi nhuận,45
19,Hàng cao cấp,22
37,Y sĩ/Hộ lý,20
34,Địa chất/Khoáng sản,19
36,Bác sĩ,18
