,Industry,No. of Jobs
0,Bán hàng / Kinh doanh,4027
1,Kế toán / Kiểm toán,2102
2,Tiếp thị / Marketing,2003
3,Ngân hàng,1987
4,Tài chính / Đầu tư,1865
5,Dịch vụ khách hàng,1734
6,Hành chính / Thư ký,1522
7,Bán lẻ / Bán sỉ,1467
8,CNTT - Phần mềm,1336
9,Điện / Điện tử / Điện lạnh,1153
10,Sản xuất / Vận hành sản xuất,1131
11,Nhân sự,1121
12,Cơ khí / Ô tô / Tự động hóa,1100
13,Xây dựng,878
14,Tư vấn,876
15,Quảng cáo / Đối ngoại / Truyền Thông,861
16,Quản lý điều hành,850
17,CNTT - Phần cứng / Mạng,824
18,Bất động sản,742
19,Vận chuyển / Giao nhận /  Kho vận,713
