,Industry,No. of Jobs
11,Tài chính/Đầu tư,1076
22,Điện/Điện tử,787
0,Xây dựng,696
9,Ngân hàng,655
23,Cơ khí,589
10,Kiểm toán,528
6,Quảng cáo/Khuyến mãi/Đối ngoại,447
7,Internet/Online Media,446
1,Kiến trúc/Thiết kế nội thất,390
41,Giáo dục/Đào tạo,371
16,Bán lẻ/Bán sỉ,358
44,Vận chuyển/Giao nhận,344
2,Bất động sản,343
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,306
43,Tư vấn,286
30,Tự động hóa/Ô tô,275
14,Hàng tiêu dùng,240
17,Thực phẩm & Đồ uống,229
13,Bảo hiểm,219
42,Y tế/Chăm sóc sức khỏe,216
35,Y tế/Chăm sóc sức khỏe,216
24,Hóa học/Hóa sinh,192
32,Sản phẩm công nghiệp,185
45,Kho vận,170
3,Viễn Thông,167
4,Truyền hình/Truyền thông/Báo chí,160
28,Dệt may/Da giày,151
29,Dược Phẩm/Công nghệ sinh học,148
33,Công nghệ cao,142
26,Điện lạnh/Nhiệt lạnh,137
21,Nhà hàng/Khách sạn,124
25,Môi trường/Xử lý chất thải,106
12,Chứng khoán,104
31,Nông nghiệp/Lâm nghiệp,93
18,Thời trang,80
20,Hàng không/Du lịch,70
27,Dầu khí,69
38,Dược sĩ,64
39,Trình dược viên,58
46,Hàng hải,53
40,Phi chính phủ/Phi lợi nhuận,46
15,Hàng gia dụng,39
8,In ấn/ Xuất bản,37
36,Bác sĩ,24
19,Hàng cao cấp,23
37,Y sĩ/Hộ lý,19
34,Địa chất/Khoáng sản,17
