,Industry,No. of Jobs
18,Nhân viên kinh doanh,444.0
47,Hành chính-Văn phòng,403.0
41,Bán hàng ,305.0
30,Tư vấn,266.0
61,Kế toán-Kiểm toán,255.0
16,Kỹ thuật,195.0
31,Xây dựng,164.0
32,Điện-Điện tử-Điện lạnh,143.0
51,Quản trị kinh doanh,124.0
0,Cơ khí-Chế tạo,121.0
56,Marketing-PR,107.0
5,Lao động phổ thông,89.0
50,Tài chính-Đầu tư,77.0
34,Thực phẩm-Đồ uống,74.0
43,Y tế-Dược,72.0
21,Kho vận-Vật tư,67.0
62,Kiến trúc-TK nội thất,65.0
29,KD bất động sản,62.0
23,Dịch vụ,57.0
52,IT phần mềm,57.0
48,Ngoại thương-Xuất nhập khẩu,55.0
45,Ngân hàng,54.0
64,Thư ký-Trợ lý,50.0
60,Nhân sự,50.0
2,Hoá học-Sinh học,50.0
9,Làm bán thời gian,45.0
28,Thiết kế-Mỹ thuật,44.0
36,Công nghiệp,42.0
6,Tiếp thị-Quảng cáo,40.0
66,Biên-Phiên dịch,39.0
22,Khách sạn-Nhà hàng,37.0
7,Vận tải,34.0
44,IT phần cứng/mạng,34.0
19,Ngành nghề khác,30.0
37,Sinh viên làm thêm,29.0
14,Dệt may - Da giày,27.0
54,Thiết kế đồ hoạ web,26.0
13,Kỹ thuật ứng dụng,26.0
11,Nông-Lâm-Ngư nghiệp,25.0
15,Ô tô - Xe máy,25.0
63,Thương mại điện tử,23.0
12,Điện tử viễn thông,22.0
40,Bảo hiểm,22.0
57,Giáo dục-Đào tạo,21.0
24,Thời trang,20.0
27,In ấn-Xuất bản,19.0
26,An ninh-Bảo vệ,16.0
59,Pháp lý-Luật,14.0
53,Hoạch định-Dự án,14.0
49,Báo chí-Truyền hình,13.0
10,Spa-Mỹ phẩm-Trang sức,11.0
67,Thực tập,10.0
17,Dầu khí-Hóa chất,10.0
58,Công nghệ cao,9.0
42,Hàng hải,8.0
46,Quan hệ đối ngoại,7.0
35,Thủ công mỹ nghệ,6.0
1,Tổ chức sự kiện-Quà tặng,6.0
25,Hàng gia dụng,6.0
55,Du lịch,4.0
39,Chứng khoán- Vàng,4.0
8,Hàng không,4.0
38,Bưu chính,3.0
65,Nghệ thuật - Điện ảnh,3.0
20,Game,2.0
3,Promotion Girl (PG),1.0
4,NV trông quán Internet,0.0
33,Người giúp việc,0.0
