,Industry,No. of Jobs
46,Hành chính-Văn phòng,339.0
10,Nhân viên kinh doanh,257.0
61,Kế toán-Kiểm toán,205.0
34,Kỹ thuật,202.0
11,Bán hàng ,173.0
29,Tư vấn,165.0
41,Điện-Điện tử-Điện lạnh,124.0
42,Cơ khí-Chế tạo,116.0
44,Quản trị kinh doanh,108.0
24,Xây dựng,104.0
36,Lao động phổ thông,79.0
43,Nhân sự,60.0
60,Marketing-PR,60.0
20,Kho vận-Vật tư,59.0
50,Tài chính-Đầu tư,56.0
63,Kiến trúc-TK nội thất,51.0
23,Công nghiệp,50.0
49,Ngân hàng,49.0
45,Thư ký-Trợ lý,48.0
1,Thực phẩm-Đồ uống,48.0
52,Ngoại thương-Xuất nhập khẩu,47.0
59,Y tế-Dược,46.0
58,IT phần mềm,41.0
25,Dệt may - Da giày,41.0
66,IT phần cứng/mạng,40.0
37,Thiết kế-Mỹ thuật,37.0
35,Dịch vụ,37.0
12,Vận tải,35.0
54,Biên-Phiên dịch,33.0
17,Khách sạn-Nhà hàng,29.0
21,Hoá học-Sinh học,28.0
9,KD bất động sản,24.0
13,Ô tô - Xe máy,22.0
26,Kỹ thuật ứng dụng,21.0
33,Tiếp thị-Quảng cáo,19.0
22,In ấn-Xuất bản,18.0
6,Điện tử viễn thông,18.0
48,Thiết kế đồ hoạ web,16.0
32,Ngành nghề khác,16.0
14,Spa-Mỹ phẩm-Trang sức,15.0
62,Thương mại điện tử,14.0
57,Hoạch định-Dự án,14.0
0,An ninh-Bảo vệ,12.0
38,Nông-Lâm-Ngư nghiệp,12.0
16,Bảo hiểm,12.0
47,Pháp lý-Luật,11.0
30,Hàng hải,9.0
40,Thời trang,7.0
28,Dầu khí-Hóa chất,7.0
65,Quan hệ đối ngoại,7.0
5,Làm bán thời gian,6.0
53,Công nghệ cao,6.0
51,Giáo dục-Đào tạo,5.0
64,Báo chí-Truyền hình,5.0
39,Sinh viên làm thêm,5.0
56,Du lịch,5.0
27,Hàng không,4.0
31,Chứng khoán- Vàng,3.0
3,Thủ công mỹ nghệ,3.0
55,Nghệ thuật - Điện ảnh,2.0
19,Người giúp việc,2.0
8,Tổ chức sự kiện-Quà tặng,1.0
15,Hàng gia dụng,1.0
67,Thực tập,1.0
7,Game,0.0
4,Promotion Girl (PG),0.0
18,NV trông quán Internet,0.0
2,Bưu chính,0.0
