,Industry,No. of Jobs
20,Nhân viên kinh doanh,335.0
22,Tư vấn,265.0
56,Hành chính-Văn phòng,246.0
9,Bán hàng ,230.0
28,Kỹ thuật,180.0
45,Kế toán-Kiểm toán,130.0
35,Xây dựng,130.0
55,Quản trị kinh doanh,129.0
30,Điện-Điện tử-Điện lạnh,120.0
33,Cơ khí-Chế tạo,111.0
1,Lao động phổ thông,77.0
62,Marketing-PR,75.0
48,Tài chính-Đầu tư,68.0
36,Thực phẩm-Đồ uống,62.0
52,Ngân hàng,61.0
43,Kiến trúc-TK nội thất,61.0
61,Nhân sự,57.0
54,Y tế-Dược,55.0
11,Dịch vụ,53.0
16,Kho vận-Vật tư,52.0
23,Thiết kế-Mỹ thuật,51.0
6,KD bất động sản,48.0
49,Thư ký-Trợ lý,46.0
7,Tiếp thị-Quảng cáo,46.0
39,Công nghiệp,45.0
14,Hoá học-Sinh học,39.0
31,Vận tải,34.0
58,Thiết kế đồ hoạ web,33.0
40,Khách sạn-Nhà hàng,31.0
64,IT phần mềm,30.0
17,Kỹ thuật ứng dụng,27.0
50,Ngoại thương-Xuất nhập khẩu,26.0
37,In ấn-Xuất bản,25.0
65,Biên-Phiên dịch,24.0
44,IT phần cứng/mạng,24.0
59,Giáo dục-Đào tạo,21.0
26,Bảo hiểm,21.0
13,Spa-Mỹ phẩm-Trang sức,21.0
2,Sinh viên làm thêm,21.0
4,Ô tô - Xe máy,20.0
21,Nông-Lâm-Ngư nghiệp,20.0
18,Điện tử viễn thông,20.0
42,Làm bán thời gian,20.0
15,Dệt may - Da giày,18.0
57,Thương mại điện tử,16.0
60,Hoạch định-Dự án,15.0
63,Báo chí-Truyền hình,14.0
29,Hàng gia dụng,13.0
66,Pháp lý-Luật,12.0
32,Ngành nghề khác,11.0
3,Hàng hải,9.0
8,Dầu khí-Hóa chất,8.0
41,Tổ chức sự kiện-Quà tặng,7.0
19,An ninh-Bảo vệ,7.0
12,Thời trang,7.0
34,Chứng khoán- Vàng,5.0
67,Thực tập,4.0
46,Quan hệ đối ngoại,4.0
25,Thủ công mỹ nghệ,4.0
10,Promotion Girl (PG),4.0
53,Du lịch,3.0
24,Người giúp việc,3.0
5,Bưu chính,3.0
51,Công nghệ cao,1.0
47,Nghệ thuật - Điện ảnh,0.0
38,Hàng không,0.0
27,NV trông quán Internet,0.0
0,Game,0.0
